age,individuals,deaths,q1k,p1k,obsyears,survprobfit,explongevity
105,194,100,514.99265,485.00735,144,0.474316,1.351
106,94,52,547.72769,452.27231,68,0.4422002,1.254
107,43,25,580.06981,419.93019,30,0.4105587,1.168
108,18,11,611.75797,388.24203,12,0.3796295,1.091
109,7,4,642.55374,357.44626,5,0.3496283,1.022
110,2,2,672.24333,327.75667,2,0.3207448,0.961
111,1,1,700.64868,299.35132,1,0.2931354,0.907
112,0,0,727.62945,272.37055,0,0.2669224,0.858
113,0,0,753.08015,246.91985,0,0.2421966,0.815
114,0,0,776.93215,223.06785,0,0.2190153,0.777
115,0,0,799.15177,200.84823,0,0.1974054,0.744
116,0,0,819.73632,180.26368,0,0.1773664,0.714
117,0,0,838.70615,161.29385,0,0.1588768,0.688
118,0,0,856.10869,143.89131,0,0.1418919,0.665
119,0,0,872.00348,127.99652,0,0.1263552,0.644
